ISS.UTCGregorian           ISS.EarthMJ2000Eq.X       ISS.EarthMJ2000Eq.Y       ISS.EarthMJ2000Eq.Z       debris.UTCGregorian        debris.EarthMJ2000Eq.X    debris.EarthMJ2000Eq.Y    debris.EarthMJ2000Eq.Z    debris2.UTCGregorian       debris2.EarthMJ2000Eq.X   debris2.EarthMJ2000Eq.Y   debris2.EarthMJ2000Eq.Z   
29 Nov 2024 00:49:43.183   611.4392166510954         -5816.427476702946        3445.035704289493         29 Nov 2024 00:49:43.183   -3227.659074198453        -3914.439145515385        7117.212971498878         29 Nov 2024 00:49:43.183   -7101.922500446899        -4396.030160180402        9007.904367596453         
29 Nov 2024 00:51:14.537   1135.357735828072         -5977.279561031053        3009.309143128402         29 Nov 2024 00:51:14.537   -2840.678027995211        -4325.302918502464        7024.571002285831         29 Nov 2024 00:51:14.537   -6925.762236699162        -4852.056906551028        9169.364194148247         
29 Nov 2024 00:52:45.868   1647.08444856751          -6074.590503220307        2541.627703956352         29 Nov 2024 00:52:45.868   -2439.602864534662        -4714.454291986225        6896.797124483453         29 Nov 2024 00:52:45.868   -6737.782793684331        -5299.667804190296        9315.070288938135         
29 Nov 2024 00:54:17.179   2141.197571154929         -6107.349257738587        2046.974764612935         29 Nov 2024 00:54:17.179   -2026.346857337536        -5079.793948169811        6734.291315001245         29 Nov 2024 00:54:17.179   -6538.810819104445        -5738.504437729051        9445.479264169095         
29 Nov 2024 00:55:48.472   2612.473604288864         -6075.228853903742        1530.608170833795         29 Nov 2024 00:55:48.472   -1602.881420021185        -5419.264571106396        6537.5575350973           29 Nov 2024 00:55:48.472   -6329.620238283357        -6168.265113165909        9561.041691386657         
29 Nov 2024 00:57:19.751   3055.928403085512         -5978.587517066518        998.0176844875232         29 Nov 2024 00:57:19.751   -1171.252639517699        -5730.839872646834        6307.213399969447         29 Nov 2024 00:57:19.751   -6110.940514603019        -6588.686493911105        9662.196587181019         
29 Nov 2024 00:58:51.022   3466.887297748457         -5818.459869377022        454.8450036018962         29 Nov 2024 00:58:51.022   -733.5692135383297        -6012.537856183527        6043.987705033624         29 Nov 2024 00:58:51.022   -5883.450483869033        -6999.555463331671        9749.374270585391         
29 Nov 2024 01:00:22.288   3841.004887149063         -5596.552668072823        -93.14030853592072        29 Nov 2024 01:00:22.288   -292.0373073335589        -6262.402640788815        5748.745098784675         29 Nov 2024 01:00:22.288   -5647.795863510817        -7400.676524684063        9822.988987365545         
29 Nov 2024 01:01:53.553   4174.335227681892         -5315.218858439222        -640.1329523769992        29 Nov 2024 01:01:53.553   151.0586773706526         -6478.525835379642        5422.48233353558          29 Nov 2024 01:01:53.553   -5404.578968814624        -7791.891953302797        9883.44392676891          
29 Nov 2024 01:03:24.824   4463.363329745575         -4977.431667752978        -1180.343453236436        29 Nov 2024 01:03:24.824   593.342460040355          -6659.045824741567        5066.343485463881         29 Nov 2024 01:03:24.824   -5154.364890828344        -8173.070394418201        9931.128687802302         
29 Nov 2024 01:04:56.105   4705.035128753554         -4586.75997070571         -1708.04723222078         29 Nov 2024 01:04:56.105   1032.33072577669          -6802.152401866937        4681.641560613471         29 Nov 2024 01:04:56.105   -4897.689253130868        -8544.095680325523        9966.418233332151         
29 Nov 2024 01:06:27.401   4896.79413598245          -4147.328196093885        -2217.651537729345        29 Nov 2024 01:06:27.401   1465.433705069981         -6906.101855757742        4269.870925827815         29 Nov 2024 01:06:27.401   -4635.057645007471        -8904.869275980702        9989.674076687255         
29 Nov 2024 01:07:58.716   5036.606973384638         -3663.77590989149         -2703.750948202788        29 Nov 2024 01:07:58.716   1889.948682717352         -6969.231651501347        3832.727582557835         29 Nov 2024 01:07:58.716   -4366.949499161808        -9255.30577384989         10001.24449869613         
